symbol,entry_time,exit_time,entry_price,exit_price,shares,pnl,pnl_pct,exit_reason,entry_score,holding_periods
KOZAL,2023-06-06 09:30:00+00:00,2023-06-08 12:30:00+00:00,24.420000076293945,24.13999938964844,188,-70.89868888854835,-0.015412282903446557,TIME_EXIT,0.5931711860183708,21.0
KCHOL,2023-06-02 14:30:00+00:00,2023-06-09 11:30:00+00:00,85.30000305175781,102.5999984741211,55,930.8307480621334,0.1980118872901164,TAKE_PROFIT,0.6594679638191495,41.0
IPEKE,2023-05-24 09:30:00+00:00,2023-06-09 12:30:00+00:00,24.26000022888184,29.15999984741211,182,872.3550505447383,0.19718023035365573,TAKE_PROFIT,0.5857323393341926,111.0
DOHOL,2023-06-08 12:30:00+00:00,2023-06-12 14:30:00+00:00,10.100000381469728,9.880000114440918,488,-126.86061079406863,-0.02568726489616022,SIGNAL,0.7149433665635536,21.0
EGEEN,2023-05-29 07:30:00+00:00,2023-06-13 07:30:00+00:00,4420.7001953125,4859.2001953125,1,419.9401992187504,0.09480443746732467,SIGNAL,0.5970221787086928,99.0
FROTO,2023-06-01 07:30:00+00:00,2023-06-13 07:30:00+00:00,59.20000076293945,67.11000061035156,83,635.5625271072386,0.12908945194039478,SIGNAL,0.7248560088220447,73.0
GESAN,2023-05-29 06:30:00+00:00,2023-06-13 13:30:00+00:00,54.54999923706055,55.25,89,42.75566803741458,0.008789035516213134,TIME_EXIT,0.6486577374952145,73.0
KONYA,2023-05-30 07:30:00+00:00,2023-06-13 13:30:00+00:00,3110.0,3135.5,1,13.009000000000015,0.00417460898139413,TIME_EXIT,0.6656847156399223,61.0
THYAO,2023-06-09 11:30:00+00:00,2023-06-13 14:30:00+00:00,175.10000610351562,177.8000030517578,28,55.83751403808583,0.011366170345883284,TIME_EXIT,0.7339183577645314,21.0
KCHOL,2023-06-09 12:30:00+00:00,2023-06-14 06:30:00+00:00,103.9000015258789,100.3000030517578,47,-188.39472871398993,-0.038502383341199285,TIME_EXIT,0.6858087858874393,20.0
PGSUS,2023-06-12 14:30:00+00:00,2023-06-15 08:30:00+00:00,122.49366760253906,120.63180541992188,38,-89.22829888916021,-0.019130999356748106,TIME_EXIT,0.6076093237229391,21.0
