symbol,entry_time,exit_time,entry_price,exit_price,shares,pnl,pnl_pct,exit_reason,entry_score,holding_periods
KLRHO,2023-06-07 00:00:00+00:00,2023-07-25 00:00:00+00:00,14.649999618530272,14.489999771118164,463,-101.06356878662064,-0.014869908774612561,TIME_EXIT,0.7149762734203571,539.0
GUBRF,2023-06-14 00:00:00+00:00,2023-07-25 00:00:00+00:00,260.0,315.5,24,1304.3760000000002,0.20861738062336868,TAKE_PROFIT,0.5995114891757963,26.0
ARCLK,2023-07-14 00:00:00+00:00,2023-07-25 00:00:00+00:00,154.6999969482422,142.10000610351562,42,-554.1308157348631,-0.08511478085264036,STOP_LOSS,0.5636562364758431,7.0
MPARK,2023-07-12 00:00:00+00:00,2023-07-28 00:00:00+00:00,80.0,96.0,87,1361.3760000000002,0.19520958083832338,TAKE_PROFIT,0.6936801747638321,12.0
KONYA,2023-07-03 00:00:00+00:00,2023-07-31 00:00:00+00:00,3600.5,4379.7998046875,2,1526.6784101562498,0.2115860502514274,TAKE_PROFIT,0.863587335316633,20.0
GARAN,2023-07-25 00:00:00+00:00,2023-08-02 00:00:00+00:00,36.32322692871094,43.59169769287109,195,1386.1849784088108,0.19531447535812207,TAKE_PROFIT,0.7087357169276551,6.0
KONTR,2023-07-25 00:00:00+00:00,2023-08-03 00:00:00+00:00,58.22685241699219,72.91392517089844,137,1976.1963942260745,0.24723986619150762,TAKE_PROFIT,0.7238746199472945,84.0
THYAO,2023-07-25 00:00:00+00:00,2023-08-07 00:00:00+00:00,217.3000030517578,266.8999938964844,34,1653.474088928223,0.22335260527196318,TAKE_PROFIT,0.7102416521292554,9.0
SASA,2023-06-27 00:00:00+00:00,2023-08-08 00:00:00+00:00,7.118750095367432,7.081250190734863,947,-62.40721022892012,-0.009238752250993692,TIME_EXIT,0.6988851673030326,27.0
AGHOL,2023-08-03 00:00:00+00:00,2023-08-09 00:00:00+00:00,144.0,174.0,53,1556.2920000000004,0.20350964737192287,TAKE_PROFIT,0.7330072745109395,4.0
SKBNK,2023-08-02 00:00:00+00:00,2023-08-14 00:00:00+00:00,3.1307406425476074,4.00259256362915,2392,2051.343929168702,0.27337732676489734,TAKE_PROFIT,0.712376964489563,8.0
EGEEN,2023-07-11 00:00:00+00:00,2023-08-17 00:00:00+00:00,5680.64453125,6838.20556640625,1,1132.523334960938,0.19896735363822252,TAKE_PROFIT,0.8643830618277091,27.0
KONYA,2023-07-31 00:00:00+00:00,2023-08-17 00:00:00+00:00,4379.7998046875,5310.10009765625,1,910.9204931640625,0.20756708733899618,TAKE_PROFIT,0.8380211619355299,13.0
INDES,2023-07-06 00:00:00+00:00,2023-08-18 00:00:00+00:00,6.289919853210449,6.3257598876953125,1178,12.49701915359492,0.0016832487933278893,TIME_EXIT,0.7545040281973008,31.0
TKFEN,2023-07-18 00:00:00+00:00,2023-08-18 00:00:00+00:00,40.380001068115234,40.15999984741211,183,-69.73786372375525,-0.009418538170167278,TIME_EXIT,0.7528662163437854,23.0
HALKB,2023-08-09 00:00:00+00:00,2023-08-18 00:00:00+00:00,14.699999809265137,13.479999542236328,541,-690.5109037609109,-0.08665392224345818,STOP_LOSS,0.7603952094693094,7.0
PGSUS,2023-08-17 00:00:00+00:00,2023-08-23 00:00:00+00:00,193.7147216796875,173.7049102783203,39,-809.0413759460444,-0.1068749137773984,STOP_LOSS,0.7169433759787911,4.0
EKGYO,2023-07-06 00:00:00+00:00,2023-09-07 00:00:00+00:00,7.730777740478516,9.347036361694336,891,1409.6537667732237,0.2042414302688425,TAKE_PROFIT,0.7276310665326071,44.0
PETKM,2023-07-28 00:00:00+00:00,2023-09-07 00:00:00+00:00,17.56999969482422,21.3799991607666,413,1541.3570803794864,0.21198919935056237,TAKE_PROFIT,0.7366018545872304,28.0
ALGYO,2023-08-08 00:00:00+00:00,2023-09-07 00:00:00+00:00,18.040000915527344,21.700000762939453,415,1485.915735282898,0.19808053860927424,TAKE_PROFIT,0.6703454618943656,21.0
KONYA,2023-09-07 00:00:00+00:00,2023-09-11 00:00:00+00:00,5950.0,5415.0,1,-557.7299999999996,-0.09354903638101941,STOP_LOSS,0.8227060737299039,2.0
EKGYO,2023-09-07 00:00:00+00:00,2023-09-13 00:00:00+00:00,9.347036361694336,8.246811866760254,891,-1011.6522625293737,-0.1212305008500473,STOP_LOSS,0.7260201649611551,4.0
GUBRF,2023-08-14 00:00:00+00:00,2023-09-18 00:00:00+00:00,324.3999938964844,327.8999938964844,24,52.689600585938024,0.006754062976759368,TIME_EXIT,0.7020509662057683,-413.0
SNGYO,2023-09-11 00:00:00+00:00,2023-09-18 00:00:00+00:00,1.3350000381469729,1.1737500429153442,5793,-963.1876008160125,-0.12429634412279629,STOP_LOSS,0.7272735984315888,-432.0
SMRTG,2023-09-13 00:00:00+00:00,2023-09-18 00:00:00+00:00,75.3499984741211,68.4000015258789,105,-759.9371795654297,-0.09585999990470924,STOP_LOSS,0.7850273987309618,3.0
DOHOL,2023-08-18 00:00:00+00:00,2023-09-19 00:00:00+00:00,13.359146118164062,13.06006145477295,643,-226.2865394992823,-0.026290650177477778,TIME_EXIT,0.7292694211478525,21.0
EREGL,2023-08-18 00:00:00+00:00,2023-09-19 00:00:00+00:00,20.69649124145508,20.903949737548828,381,47.342150985716216,0.005991817332662414,TIME_EXIT,0.6781771747487353,21.0
KCHOL,2023-08-18 00:00:00+00:00,2023-09-19 00:00:00+00:00,124.20350646972656,123.65148162841795,59,-61.81635423278931,-0.008418792352685158,TIME_EXIT,0.6640886962653632,21.0
EGEEN,2023-08-17 00:00:00+00:00,2023-10-02 00:00:00+00:00,6838.20556640625,8249.5595703125,1,1381.1784736328136,0.2015765125786479,TAKE_PROFIT,0.8930301367742701,31.0
ECILC,2023-08-23 00:00:00+00:00,2023-10-02 00:00:00+00:00,46.76411437988281,56.79198455810547,159,1561.500518875122,0.20958711180522144,TAKE_PROFIT,0.6890885931115517,27.0
