time,portfolio_value,cash,positions
2023-10-05 04:00:00+00:00,163409.1467019909,86500.2484495037,10
2023-10-10 08:00:00+00:00,164535.6135649279,92764.56065316945,9
2023-10-13 12:00:00+00:00,162580.13137155707,84124.82281547721,10
2023-10-19 04:00:00+00:00,160564.69790805277,83151.99503172335,10
2023-10-24 08:00:00+00:00,159168.08528085117,83512.81611485845,10
2023-10-27 12:00:00+00:00,158250.20533583622,88547.82505248052,10
2023-11-02 04:00:00+00:00,157776.38529841407,88998.14542643531,10
2023-11-07 08:00:00+00:00,158014.39120367228,93793.6478488749,9
2023-11-10 12:00:00+00:00,159202.87153223023,83231.8568656729,10
2023-11-16 04:00:00+00:00,155805.73750254806,82136.32615611251,10
2023-11-21 08:00:00+00:00,158400.4687474974,82059.98675668318,10
2023-11-24 12:00:00+00:00,158311.95497175583,80992.31139608749,10
2023-11-30 04:00:00+00:00,156609.1032548426,87981.74510006889,9
2023-12-05 08:00:00+00:00,172653.51266704735,90051.69890390572,10
2023-12-08 12:00:00+00:00,171091.2551357096,89334.62757986244,10
2023-12-14 04:00:00+00:00,166918.27334218012,87274.51935200677,10
2023-12-19 08:00:00+00:00,168247.4148371428,90796.67724063095,10
2023-12-22 12:00:00+00:00,167745.57275013148,89990.82418731866,10
2023-12-28 04:00:00+00:00,162528.34182013667,93760.6388288895,10
2024-01-03 08:00:00+00:00,165148.70004859887,92860.34891930544,10
2024-01-08 12:00:00+00:00,167349.0108287183,88866.73499749579,10
2024-01-12 04:00:00+00:00,166194.4580303022,88956.2148662397,10
2024-01-17 08:00:00+00:00,168182.26068947045,89133.51133606164,10
2024-01-22 12:00:00+00:00,167370.38962528293,88882.1769126374,10
2024-01-26 04:00:00+00:00,168722.04816005484,87608.10644374149,10
2024-01-31 08:00:00+00:00,168689.49844869392,87626.20268830078,10
2024-02-05 12:00:00+00:00,170108.3841445481,86835.88695586078,10
2024-02-09 04:00:00+00:00,172675.63142167154,87962.0496336085,10
2024-02-14 08:00:00+00:00,173103.31853470483,94693.9736512629,9
2024-02-19 12:00:00+00:00,174859.71500758326,89870.44497851528,10
2024-02-23 04:00:00+00:00,177900.13936864055,100683.94948445477,9
2024-02-28 08:00:00+00:00,175074.3083147732,97182.9081139294,9
2024-03-04 12:00:00+00:00,171020.27766546022,96436.56351979982,9
2024-03-08 04:00:00+00:00,171140.02618170323,86809.60536432805,10
2024-03-13 08:00:00+00:00,168138.59033407178,89876.3950168034,10
2024-03-18 12:00:00+00:00,164351.113471182,88628.38914242567,10
2024-03-22 04:00:00+00:00,166833.13714192787,94810.34084759632,9
2024-03-27 08:00:00+00:00,162855.5340278322,86822.4733269388,10
2024-04-01 12:00:00+00:00,166066.95232302873,87071.0519538614,10
2024-04-05 04:00:00+00:00,167457.72284579865,86815.03275848024,10
2024-04-15 12:00:00+00:00,169302.20520253008,88737.43506426638,10
2024-04-19 04:00:00+00:00,169614.90781652468,95482.71765005129,9
2024-04-25 08:00:00+00:00,173389.45220446127,87975.55780541437,10
2024-04-30 12:00:00+00:00,177642.03505146617,90678.32929313298,10
2024-05-07 04:00:00+00:00,180615.6586245262,91092.8279970848,10
2024-05-10 08:00:00+00:00,181888.21923625105,91092.8279970848,10
2024-05-15 12:00:00+00:00,182041.68798279113,91825.67457126922,10
2024-05-21 04:00:00+00:00,188936.73660447617,98766.759770179,10
2024-05-24 08:00:00+00:00,187240.67155061456,99893.20543275567,10
2024-05-29 12:00:00+00:00,184841.5279083645,98435.48758129234,10
2024-06-04 04:00:00+00:00,187326.32932744714,98720.28925405236,10
2024-06-07 08:00:00+00:00,183392.14298994179,99216.74335558052,10
2024-06-12 12:00:00+00:00,181582.53760648958,97766.72661103003,10
2024-06-21 04:00:00+00:00,187671.97834782733,101726.20310454503,10
2024-06-26 08:00:00+00:00,185740.87282361352,99545.38040389384,10
2024-07-01 12:00:00+00:00,182951.58613498817,98565.36728485239,10
2024-07-05 04:00:00+00:00,187402.19869514692,101423.24878212201,10
2024-07-10 08:00:00+00:00,187848.8525791458,101020.49257853544,10
2024-07-16 12:00:00+00:00,191812.58784871138,103285.26422123946,10
2024-07-22 04:00:00+00:00,190701.23207228698,102168.482283049,10
2024-07-25 08:00:00+00:00,189622.35292040097,100129.34983478773,10
2024-07-30 12:00:00+00:00,186410.39966776883,98399.89632132565,10
2024-08-05 04:00:00+00:00,181763.2446883415,100020.69386131513,10
2024-08-08 08:00:00+00:00,183192.38787437283,100972.76768709027,10
2024-08-13 12:00:00+00:00,178917.63203582226,101744.46427258907,10
2024-08-19 04:00:00+00:00,179830.54917099985,99325.29884532008,10
2024-08-22 08:00:00+00:00,180864.56200613102,98683.18375434002,10
2024-08-27 12:00:00+00:00,177154.249909993,99811.17725264627,10
2024-09-03 04:00:00+00:00,179362.81918728334,99284.66565144046,10
2024-09-06 08:00:00+00:00,178104.6311491354,102144.03117545684,9
2024-09-11 12:00:00+00:00,172414.80283073793,91494.69158272157,10
