date,value,cash,positions,returns
2025-01-22 00:00:00+00:00,100102.0205585309,62891.21935003481,5,0.0012775317874680336
2025-01-23 00:00:00+00:00,100478.51492040834,62891.21935003481,5,0.003761106516898982
2025-01-24 00:00:00+00:00,100694.4687970563,63049.37974485598,5,0.002149254264148137
2025-01-27 00:00:00+00:00,100276.55249246798,63049.37974485598,5,-0.004150340228027849
2025-01-28 00:00:00+00:00,100080.80162505922,61728.213422582725,5,-0.0019521100650470302
2025-01-29 00:00:00+00:00,99252.67458896455,61728.213422582725,5,-0.008274584362314985
2025-01-30 00:00:00+00:00,99357.49200420198,61728.213422582725,5,0.0010560664049761304
2025-01-31 00:00:00+00:00,98721.84832450686,62798.96953460513,5,-0.006397541512704774
2025-02-03 00:00:00+00:00,97806.19423848925,61329.73674375353,5,-0.009275090585903367
2025-02-04 00:00:00+00:00,98143.87565404711,61329.73674375353,5,0.0034525565398697555
2025-02-05 00:00:00+00:00,97650.95981962023,61329.73674375353,5,-0.005022379961480139
2025-02-06 00:00:00+00:00,98281.6909715062,62245.30674375352,5,0.006459036890687608
2025-02-07 00:00:00+00:00,98991.1641624814,62474.775904501046,5,0.0072187727333759
2025-02-10 00:00:00+00:00,98751.99942520724,62481.37686470613,5,-0.0024160210590270514
2025-02-11 00:00:00+00:00,99443.87548976716,63331.383729513254,5,0.007006198037376787
2025-02-12 00:00:00+00:00,99194.30665927705,63331.383729513254,5,-0.0025096450561783445
2025-02-13 00:00:00+00:00,99535.21166636859,62939.283800386525,5,0.0034367396534411565
2025-02-14 00:00:00+00:00,99276.5536597005,62939.283800386525,5,-0.00259865832741768
2025-02-17 00:00:00+00:00,99223.58630397235,62939.283800386525,5,-0.0005335333850298163
2025-02-18 00:00:00+00:00,99673.29995559892,63118.40180038652,5,0.004532326116986729
2025-02-19 00:00:00+00:00,98677.73217285356,63969.73761070451,5,-0.00998830963948072
2025-02-20 00:00:00+00:00,99080.65990150651,63969.73761070451,5,0.004083269039332427
2025-02-21 00:00:00+00:00,97747.84616653834,59618.12728016291,5,-0.013451805188753219
2025-02-24 00:00:00+00:00,97656.4817876092,59618.12728016291,5,-0.0009346945483942326
2025-02-25 00:00:00+00:00,96723.78510563288,59618.12728016291,5,-0.009550791354585364
2025-02-26 00:00:00+00:00,96978.0638446084,59618.12728016291,5,0.002628916338394127
2025-02-27 00:00:00+00:00,97611.82568066035,59618.12728016291,5,0.006535105063217639
2025-02-28 00:00:00+00:00,97384.6416987649,59618.12728016291,5,-0.002327422730916684
2025-03-03 00:00:00+00:00,97605.06113235865,59618.12728016291,5,0.002263390096721496
2025-03-04 00:00:00+00:00,97103.16090184031,61352.025561149705,5,-0.005142153743828204
2025-03-05 00:00:00+00:00,98774.34768394861,59230.78154472741,5,0.01721042617549462
